device_id,os,appver,log_time,duration,source,song_id,action
O21747461S,android,5.4.0,1533087870,160,DailyRecommends,84239,play
P96798826F,android,5.4.0,1533066447,7,PersonalFM,47567,play
P96798826F,android,5.4.0,1533131566,149,UserCreatedList,38224,play
L59138887N,web,null,1533130349,10,UserLikeList,43701,play
R88622339P,android,5.4.0,1533120843,177,RecommendedList,87100,play
T27323235N,android,5.4.0,1533103254,45,DailyRecommends,42158,play
O21747461S,pc,2.4.0.196402,1533077632,49,UserCreatedList,87802,play
J78967010Q,android,5.4.0,1533070439,68,RecommendedList,77171,play
U46734872N,android,5.3.1,1533111941,158,UserLikeList,29796,play
R70156463Y,pc,2.4.0.196505,1533113852,161,RecommendedList,81624,play
V19631159T,android,5.4.0,1533088936,130,UserLikeList,8254,play
S67865521N,android,5.4.0,1533061365,135,UserLikeList,28084,play
G81673373T,android,5.4.0,1533077009,51,search,99670,play
O21747461S,android,5.4.0,1533087870,160,DailyRecommends,84239,play
F91712707C,iphone,5.3.0,1533115518,145,UserLikeList,18382,play
H65552902I,iphone,5.4.0,1533091070,28000,UserCreatedList,17098,play
E946008R,android,5.4.0,1533102490,45,search,24468,play
H90038889U,web,null,1533083289,44,RecommendedList,54000,play
Y33862574K,android,5.4.0,1533104707,142,UserCollectdList,15509,play
K6432538I,pc,2.2.3.196108,1533105098,158,PersonalFM,57922,play
V4808883G,android,5.4.0,1533054628,146,UserLikeList,45067,play
O51135567N,android,5.3.1,1533080219,167,UserLikeList,68884,play
E57269705S,iphone,5.4.0,1533079060,204,UserLikeList,23744,play
A64132882E,android,5.4.0,1533127223,28,search,52033,play
U71323197U,android,5.4.0,1533113838,100,UserLikeList,94248,play
Z57212987I,ipad,1.5.2,1533081788,142,UserCreatedList,46968,play
C34873926E,android,5.4.0,1533097224,128,artist,25017,play
V45595048Y,android,5.4.0,1533120735,201,Local,80883,play
U49786275K,android,5.4.0,1533117751,207,UserCreatedList,48476,play
T33067259M,android,5.4.0,1533073740,49,Local,4339,play
J35805892L,android,5.4.0,1533086712,146,Local,97339,play
K49084991Z,android,5.4.0,1533099499,115,search,12613,play
T27903258A,android,5.4.0,1533108895,141,UserLikeList,67958,play
Y69308390W,android,5.4.0,1533127289,204,UserLikeList,46504,play
X74392835H,android,5.2.0,1533138404,205,RecommendedList,18344,play
N77270009R,pc,2.4.0.196505,1533109378,142,UserLikeList,85615,play
O84024970A,android,5.4.0,1533058744,29,UserLikeList,27170,play
A93639920X,iphone,5.4.0,1533100562,67,Downloaded,31263,play
A34799180E,android,5.4.0,1533120833,74,artist,77536,play
C93014671L,pc,2.5.0.196623,1533109041,37,UserLikeList,40005,play
B32042365D,pc,2.2.3.196108,1533114007,104,DailyRecommends,36162,play
I20334391B,pc,2.4.0.196505,1533105994,116,DailyRecommends,68045,play
L92286475E,android,5.4.0,1533112494,73,UserLikeList,71683,play
N12166798F,pc,2.4.0.196505,1533101729,196,UserCreatedList,76523,play
F55168048V,android,5.4.0,1533127035,171,UserLikeList,39879,play
J26777924X,android,5.4.0,1533122191,117,UserLikeList,84171,play
H81900147U,pc,2.5.0.196623,1533071202,143,UserCollectdList,31796,play
V12297973S,android,5.4.0,1533103833,1,UserLikeList,79199,play
T50223850B,android,5.4.0,1533096897,159,UserLikeList,23973,play
G76389519B,android,5.4.0,1533053840,180,UserCreatedList,84351,play
Y78610767G,android,5.4.0,1533119841,152,UserLikeList,9041,play
M31704237N,iphone,5.4.0,1533130982,163,UserCreatedList,58901,play
H10848043A,android,5.4.0,1533136598,87,PersonalFM,42535,play
V30533008E,iphone,5.4.0,1533133778,142,UserLikeList,45445,play
Z44268258A,pc,2.2.3.196108,1533062148,20,UserLikeList,34291,play
Q49768152W,iphone,5.4.0,1533130898,117,UserLikeList,2817,play
G64496541P,android,5.4.0,1533115388,67,RecentlyPlayed,22156,play
C65538986Y,pc,2.2.3.196108,1533118874,127,UserLikeList,6838,play
S6297993A,android,5.3.0,1533089062,75,UserCreatedList,6925,play
C96256142N,iphone,5.3.0,1533117936,130,UserCreatedList,55919,play
Q36303639H,pc,2.4.0.196505,1533135045,16,UserCreatedList,36406,play
D63161627A,android,5.4.0,1533112403,83,UserCreatedList,64636,play
P52109604I,android,5.3.1,1533104274,50,artist,46631,play
A18442653Z,android,5.3.1,1533117226,44,Local,43007,play
H88423508I,android,5.4.0,1533103208,2,UserLikeList,49820,play
F67203001N,android,5.4.0,1533133580,118,UserLikeList,68950,play
D90206573K,iphone,5.4.0,1533110517,25,UserLikeList,6580,play
J89933736M,android,5.4.0,1533109926,69,UserLikeList,87966,play
K39988861R,iphone,5.4.0,1533058600,6,DailyRecommends,45334,play
D83187594Y,android,5.4.0,1533105532,110,DailyRecommends,6761,play
U15556119T,iphone,5.4.0,1533077725,126,UserLikeList,50229,play
I9160489H,android,5.4.0,1533097987,165,UserCollectdList,28712,play
Q96163646T,android,5.4.0,1533066929,63,UserLikeList,83976,play
W74667253U,android,5.3.0,1533120940,129,UserCreatedList,43523,play
W40184403B,android,5.4.0,1533129803,73,DailyRecommends,70987,play
E78901989F,android,5.4.0,1533116197,22,RecentlyPlayed,95568,play
