device_id,duration,source,song_id,dt
O21747461S,160,DailyRecommends,30171438,2018/1/1
P96798826F,7,PersonalFM,1235874938,2018/1/1
P96798826F,149,UserCreatedList,1337193512,2018/1/1
L59138887N,10,UserLikeList,379807976,2018/1/1
R88622339P,177,RecommendedList,1288697303,2018/1/1
T27323235N,45,DailyRecommends,1259925392,2018/1/1
O21747461S,49,UserCreatedList,130118,2018/1/1
J78967010Q,68,RecommendedList,1283193780,2018/1/1
U46734872N,158,UserLikeList,1286885150,2018/1/1
R70156463Y,161,RecommendedList,1388786901,2018/1/1
V19631159T,130,UserLikeList,391176015,2018/1/1
S67865521N,135,UserLikeList,1217342451,2018/1/1
G81673373T,51,search,431848130,2018/1/1
O21747461S,160,DailyRecommends,1353834011,2018/1/1
F91712707C,145,UserLikeList,489410287,2018/1/1
H65552902I,28000,UserCreatedList,1698018021,2018/1/1
E946008R,45,search,349374,2018/1/1
H90038889U,44,RecommendedList,1400177375,2018/1/1
Y33862574K,142,UserCollectdList,431360428,2018/1/1
K6432538I,158,PersonalFM,1374398065,2018/1/1
V4808883G,146,UserLikeList,32144391,2018/1/1
O51135567N,167,UserLikeList,446476899,2018/1/1
E57269705S,204,UserLikeList,26706746,2018/1/1
A64132882E,28,search,1295204859,2018/1/1
U71323197U,100,UserLikeList,1263218305,2018/1/1
Z57212987I,142,UserCreatedList,1323209731,2018/1/1
C34873926E,128,artist,1240302078,2018/1/1
V45595048Y,201,Local,1354016302,2018/1/1
U49786275K,207,UserCreatedList,498382488,2018/1/1
T33067259M,49,Local,1329475170,2018/1/1
J35805892L,146,Local,147031,2018/1/1
K49084991Z,115,search,24120776,2018/1/1
T27903258A,141,UserLikeList,411419242,2018/1/1
Y69308390W,204,UserLikeList,62812,2018/1/1
X74392835H,205,RecommendedList,4591764,2018/1/1
N77270009R,142,UserLikeList,1698177084,2018/1/1
O84024970A,29,UserLikeList,386317679,2018/1/1
A93639920X,67,Downloaded,400803563,2018/1/1
A34799180E,74,artist,1287977882,2018/1/1
C93014671L,37,UserLikeList,1283193780,2018/1/1
B32042365D,104,DailyRecommends,1287380281,2018/1/1
I20334391B,116,DailyRecommends,1401729076,2018/1/1
L92286475E,73,UserLikeList,1390587798,2018/1/1
N12166798F,196,UserCreatedList,1339244905,2018/1/1
F55168048V,171,UserLikeList,359214,2018/1/1
J26777924X,117,UserLikeList,539873066,2018/1/1
H81900147U,143,UserCollectdList,1296823804,2018/1/1
V12297973S,1,UserLikeList,1252133009,2018/1/1
T50223850B,159,UserLikeList,1701231984,2018/1/1
G76389519B,180,UserCreatedList,458662927,2018/1/1
Y78610767G,152,UserLikeList,37770544,2018/1/1
M31704237N,163,UserCreatedList,1302481277,2018/1/1
H10848043A,87,PersonalFM,1290160072,2018/1/1
V30533008E,142,UserLikeList,1408200794,2018/1/1
Z44268258A,20,UserLikeList,485276341,2018/1/1
Q49768152W,117,UserLikeList,1282135177,2018/1/1
G64496541P,67,RecentlyPlayed,1313878685,2018/1/1
C65538986Y,127,UserLikeList,1264813068,2018/1/1
S6297993A,75,UserCreatedList,1305244923,2018/1/1
C96256142N,130,UserCreatedList,33216775,2018/1/1
Q36303639H,16,UserCreatedList,1364387574,2018/1/1
D63161627A,83,UserCreatedList,1223998152,2018/1/1
P52109604I,50,artist,1373511218,2018/1/1
A18442653Z,44,Local,1385673288,2018/1/1
H88423508I,2,UserLikeList,1297971344,2018/1/1
F67203001N,118,UserLikeList,412990638,2018/1/1
D90206573K,25,UserLikeList,396472112,2018/1/1
J89933736M,69,UserLikeList,30891475,2018/1/1
K39988861R,6,DailyRecommends,28290446,2018/1/1
D83187594Y,110,DailyRecommends,416646450,2018/1/1
U15556119T,126,UserLikeList,487973098,2018/1/1
I9160489H,165,UserCollectdList,333606,2018/1/1
Q96163646T,63,UserLikeList,382905152,2018/1/1
W74667253U,129,UserCreatedList,1252967102,2018/1/1
W40184403B,73,DailyRecommends,34494170,2018/1/1
E78901989F,22,RecentlyPlayed,1390724657,2018/1/1
L72433753Y,116,PersonalFM,438335474,2018/1/1
P43894145K,162,UserLikeList,26943546,2018/1/1
C29826766W,121,UserCreatedList,400616500,2018/1/1
M50847897X,151,UserCreatedList,1392731409,2018/1/1
O39592314L,129,UserCreatedList,438104642,2018/1/1
D81932778B,121,DailyRecommends,1260776503,2018/1/1
Q41151995F,29,UserLikeList,1284552907,2018/1/1
D43760069W,187,DailyRecommends,1320168171,2018/1/1
P53263323C,163,RecommendedList,1346708918,2018/1/1
L83300333P,166,UserLikeList,162376,2018/1/1
Z45102138V,40,UserLikeList,1325887701,2018/1/1
K1259656S,143,RecommendedList,36308007,2018/1/1
W79541861G,179,RecommendedList,1395655509,2018/1/1
X43481313C,168,DailyRecommends,1240638260,2018/1/1
C97188678U,197,UserCreatedList,1401082964,2018/1/1
H40154185X,1,UserLikeList,31006618,2018/1/1
T24332331L,139,UserLikeList,1361111225,2018/1/1
N26715510G,172,RecommendedList,1310298552,2018/1/1
Y33400444W,42,UserLikeList,398170313,2018/1/1
R46711161M,21,UserLikeList,1429387,2018/1/1
W82520065L,166,DailyRecommends,1248242904,2018/1/1
H62995622O,202,UserCreatedList,21300774,2018/1/1
T93797849X,1,DailyRecommends,535512871,2018/1/1
D37013491U,183,UserLikeList,1339638791,2018/1/1
G79660107T,174,UserLikeList,26204133,2018/1/1
C58104381N,89,UserLikeList,1291288074,2018/1/1
H13399576P,199,UserCollectdList,1700543050,2018/1/1
Z48213756Q,208,DailyRecommends,1306725646,2018/1/1
T77605407C,103,PersonalFM,491005760,2018/1/1
J92943713N,66,UserLikeList,1363183328,2018/1/1
Y16851830J,39,DailyRecommends,413869601,2018/1/1
F30777353I,80,DailyRecommends,514354842,2018/1/1
S56240037J,144,UserCreatedList,175413,2018/1/1
B80643379M,10,RecommendedList,1378557043,2018/1/1
S89687015I,41,PersonalFM,1370972014,2018/1/1
V35069768I,8,UserLikeList,1698496534,2018/1/1
C22840413X,103,RecommendedList,1345069055,2018/1/1
P5057323S,171,UserLikeList,1377077797,2018/1/1
F44185820D,183,UserLikeList,1254381172,2018/1/1
E18132120T,38,Local,814381557,2018/1/1
S53427275F,17,artist,1409095162,2018/1/1
T28810650A,27,UserLikeList,26300488,2018/1/1
M33841527K,31,UserLikeList,29015739,2018/1/1
M66969654C,61,UserLikeList,28290446,2018/1/1
Z6261594D,139,DailyRecommends,1270261465,2018/1/1
D78917376X,33,UserLikeList,444183439,2018/1/1
X81501938S,81,UserCollectdList,1345133964,2018/1/1
Z74142197A,78,Downloaded,1376263377,2018/1/1
G74517283J,170,UserLikeList,1314922389,2018/1/1
S96515451T,54,RecommendedList,1346645576,2018/1/1
P42894815Y,151,DailyRecommends,474408282,2018/1/1
N65451205T,182,UserCreatedList,1266899833,2018/1/1
R34842674C,41,UserLikeList,1288893823,2018/1/1
Z61454678V,170,UserLikeList,24208235,2018/1/1
F28314513L,12,RecommendedList,1242503273,2018/1/1
S62305961E,122,UserCreatedList,1700519264,2018/1/1
M10833214C,167,UserCreatedList,16375062,2018/1/1
H15473548F,157,UserLikeList,157748,2018/1/1
A87025529B,93,UserCreatedList,1331864067,2018/1/1
H96919398P,165,RecommendedList,1328420758,2018/1/1
X15618243H,90,UserCreatedList,1355855928,2018/1/1
R28889861X,15,RecommendedList,1327796264,2018/1/1
Z52183969P,47,RecommendedList,1281131945,2018/1/1
X72259939E,53,DailyRecommends,30170559,2018/1/1
O70276392Z,98,search,1314048580,2018/1/1
M1122272G,80,DailyRecommends,1350604120,2018/1/1
H47561186G,41,UserCreatedList,25241675,2018/1/1
G91758085V,206,UserLikeList,1380069885,2018/1/1
F71588708P,49,UserLikeList,1220678099,2018/1/1
A3654460I,42,UserLikeList,1356396531,2018/1/1
F25731824L,189,UserLikeList,1387335139,2018/1/1
O51282315X,75,UserCollectdList,3204711,2018/1/1
Z23552147B,77,PersonalFM,450387185,2018/1/1
F62839635M,128,PersonalFM,1315707040,2018/1/1
V57384429S,200,DailyRecommends,1311531039,2018/1/1
S95313796O,130,DailyRecommends,29583967,2018/1/1
E17082938G,4,UserLikeList,34421342,2018/1/1
Q10706169T,80,UserCreatedList,239000,2018/1/1
W34174162C,111,DailyRecommends,131498,2018/1/1
Q46942105S,71,UserLikeList,1341519172,2018/1/1
P58731887S,186,RecommendedList,1354135136,2018/1/1
F7849919H,18,UserLikeList,1345917796,2018/1/1
S41306755O,57,PersonalFM,1396323444,2018/1/1
W39422227B,0,UserLikeList,1368559880,2018/1/1
H21037288J,152,UserLikeList,522565402,2018/1/1
H39325280Q,201,UserLikeList,1318682919,2018/1/1
I84556753K,109,RecentlyPlayed,157912,2018/1/1
U39152911G,120,UserCollectdList,1326538154,2018/1/1
Q34485537R,15,RecommendedList,260349,2018/1/1
X43838652J,58,UserLikeList,1698018021,2018/1/1
T44440852Z,111,DailyRecommends,1698733216,2018/1/1
Q27089604R,84,DailyRecommends,1306123186,2018/1/1
N59965708Y,158,UserLikeList,502171318,2018/1/1
Y73944290P,127,UserLikeList,1303711112,2018/1/1
I73293019Q,39,UserLikeList,383326383,2018/1/1
C98730695E,45,PersonalFM,1345677660,2018/1/1
I85503246O,92,DailyRecommends,157076,2018/1/1
Q24967336L,34,UserCreatedList,1290824837,2018/1/1
I69972833K,126,PersonalFM,1271101981,2018/1/1
Q44660649J,18,UserCreatedList,506010294,2018/1/1
C39107844W,189,UserCollectdList,1365228022,2018/1/1
W84551393O,166,DailyRecommends,1363775096,2018/1/1
I90066733G,4,UserCreatedList,1696578901,2018/1/1
P9090633Y,27,UserLikeList,1322216948,2018/1/1
Z28949931E,148,UserCollectdList,1398701892,2018/1/1
L92426255X,129,UserCollectdList,1261455046,2018/1/1
D90699399R,31,UserLikeList,1338296231,2018/1/1
Q221554J,109,UserLikeList,1700519450,2018/1/1
M67408673D,157,UserLikeList,1300264755,2018/1/1
Y81073593C,124,RecommendedList,1355369217,2018/1/1
N22654947S,84,DailyRecommends,813454449,2018/1/1
V7047830S,12,UserLikeList,540882261,2018/1/1
A63059081A,36,UserLikeList,19904673,2018/1/1
E61819287Z,128,UserCreatedList,1411026157,2018/1/1
B27137366A,145,DailyRecommends,1276045333,2018/1/1
D93483238G,108,Local,1392510505,2018/1/1
V9961761Z,79,Local,477091919,2018/1/1
L45150856Q,122,DailyRecommends,1316957900,2018/1/1
X14732191J,28,RecommendedList,430841946,2018/1/1
C28878066V,101,RecentlyPlayed,1407771947,2018/1/1
H82761540Q,98,UserLikeList,1387787316,2018/1/1
J87607469Z,49,RecommendedList,383976081,2018/1/1
O79900961J,13,RecommendedList,520770567,2018/1/1
H20187554E,108,UserLikeList,31927890,2018/1/1
S53062011S,456,Local,1376263377,2018/1/1
E9674818E,86,UserLikeList,377816636,2018/1/1
E26725476E,407,UserLikeList,466982084,2018/1/1
E31275140E,459,other,34335841,2018/1/1
H70003392H,113,UserLikeList,1358586518,2018/1/1
T20986745T,360,UserCollectdList,26436750,2018/1/1
D47612134D,176,other,1387393383,2018/1/1
