基金代码,基金名称,截止日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,起购金额,原手续费,现手续费,成立日期,基金经理,类型,管理人,资产规模
d000689,前海开源新经济混合A,2021-11-24,3.6352,-1.68,3.06,12.80,14.14,101.51,154.74,262.43,307.08,115.36,299.51,10元,1.50%,0.15%,2014-08-20,崔宸龙,混合型-灵活,前海开源基金,63.08亿元（截止至：2021-09-30）
d005669,前海开源公用事业股票,2021-11-24,3.4794,0.46,3.67,8.78,10.39,97.00,153.01,235.98,268.00,109.43,247.94,10元,1.50%,0.15%,2018-03-23,崔宸龙,股票型,前海开源基金,166.29亿元（截止至：2021-09-30）
d000209,信诚新兴产业混合A,2021-11-24,5.3077,-3.05,-0.93,-5.26,-2.02,59.10,125.96,301.49,410.36,83.47,430.77,10元,1.50%,0.15%,2013-07-17,王睿,混合型-偏股,中信保诚基金,99.62亿元（截止至：2021-09-30）
d009644,东方阿尔法优势产业混合A,2021-11-24,2.3242,-1.82,0.58,-3.24,-1.97,61.86,117.05,,,77.11,132.42,1,0.15,0,2020-06-28,唐雷,混合型-偏股,东方阿尔法基金,46.53亿元（截止至：2021-09-30）
d009645,东方阿尔法优势产业混合C,2021-11-24,2.3081,-1.83,0.57,-3.28,-2.10,61.46,115.99,,,76.33,130.81,1,0.00,0,2020-06-28,唐雷,混合型-偏股,东方阿尔法基金,37.94亿元（截止至：2021-09-30）
d000828,泰达转型机遇股票A,2021-11-24,3.8810,-2.39,-1.12,8.86,2.78,62.05,108.66,276.43,487.14,72.03,366.36,10元,1.20%,0.12%,2014-11-18,王鹏,股票型,泰达宏利基金,41.79亿元（截止至：2021-09-30）
d003567,华夏行业景气混合,2021-11-24,3.9296,-0.19,2.16,4.43,5.39,66.83,107.97,222.92,304.16,78.59,292.96,10元,1.50%,0.15%,2017-02-04,钟帅,混合型-偏股,华夏基金,72.57亿元（截止至：2021-09-30）
d002296,长城行业轮动混合A,2021-11-24,2.8006,-1.22,4.57,1.61,3.75,67.45,107.70,138.21,161.81,93.22,180.06,10元,1.50%,0.15%,2016-01-12,杨宇,混合型-灵活,长城基金,32.26亿元（截止至：2021-09-30）
d001487,宝盈优势产业混合A,2021-11-24,3.7400,-0.14,0.68,10.96,2.58,45.07,107.66,169.06,314.63,92.98,326.19,10元,1.50%,0.15%,2015-08-25,肖肖,混合型-灵活,宝盈基金,21.93亿元（截止至：2021-09-30）
d005927,创金合信新能源汽车股票A,2021-11-24,3.6274,-1.46,4.84,-0.04,-4.58,62.54,104.25,272.73,303.22,68.10,262.74,10元,1.50%,0.15%,2018-05-08,曹春林,股票型,创金合信基金,21.32亿元（截止至：2021-09-30）
d001822,华商智能生活灵活配置混合,2021-11-24,3.2000,-0.87,1.17,10.31,14.16,76.02,104.21,224.54,309.73,74.29,220.00,10元,1.50%,0.15%,2015-11-13,高兵,混合型-灵活,华商基金,5.82亿元（截止至：2021-09-30）
d001933,华商新兴活力混合,2021-11-24,3.0610,-0.84,1.53,10.07,12.79,77.55,104.07,214.27,274.66,74.61,206.10,10元,1.50%,0.15%,2016-02-25,高兵,混合型-灵活,华商基金,2.09亿元（截止至：2021-09-30）
d001298,金鹰民族新兴混合,2021-11-24,4.3240,-3.11,1.12,-0.83,-0.16,53.50,104.06,278.63,394.17,88.99,332.40,10元,1.50%,0.15%,2015-06-02,韩广哲,混合型-灵活,金鹰基金,10.54亿元（截止至：2021-09-30）
d005928,创金合信新能源汽车股票C,2021-11-24,3.5358,-1.47,4.82,-0.11,-4.75,61.97,102.83,267.62,294.84,67.05,253.58,10元,,0.00%,2018-05-08,曹春林,股票型,创金合信基金,18.64亿元（截止至：2021-09-30）
d002258,大成国企改革灵活配置混合,2021-11-24,3.5490,-0.14,1.69,1.14,9.20,60.52,102.22,206.74,337.07,82.28,254.90,10元,1.50%,0.15%,2017-09-21,韩创,混合型-灵活,大成基金,16.92亿元（截止至：2021-09-30）
d007689,国投瑞银新能源混合A,2021-11-24,3.6252,-0.87,4.73,1.93,-1.49,66.84,101.89,285.21,,73.48,286.63,1,0.15,0,2019-11-18,施成,混合型-偏股,国投瑞银基金,48.28亿元（截止至：2021-09-30）
d009147,建信新能源行业股票,2021-11-24,2.9220,-1.63,2.05,4.44,8.11,68.37,101.89,,,69.04,192.20,10元,1.50%,0.15%,2020-06-17,陶灿,股票型,建信基金,43.87亿元（截止至：2021-09-30）
d007690,国投瑞银新能源混合C,2021-11-24,3.5961,-0.88,4.72,1.90,-1.60,66.50,101.09,282.17,,72.86,283.55,1,0.00,0,2019-11-18,施成,混合型-偏股,国投瑞银基金,33.14亿元（截止至：2021-09-30）
d002190,农银新能源主题,2021-11-24,4.6255,-1.88,1.28,4.42,7.92,65.55,100.92,404.75,489.54,65.85,362.55,10元,1.50%,0.15%,2016-03-29,赵诣,混合型-灵活,农银汇理基金,259.18亿元（截止至：2021-09-30）
d001704,国投瑞银进宝灵活配置混合,2021-11-24,4.8515,-1.06,4.74,2.39,2.78,71.65,100.83,288.12,496.45,73.48,397.22,10元,1.50%,0.15%,2015-08-26,施成,混合型-灵活,国投瑞银基金,32.39亿元（截止至：2021-09-30）
d700003,平安策略先锋混合,2021-11-24,6.7230,-1.29,2.10,12.09,16.36,78.09,100.75,228.11,412.03,80.10,635.61,10元,1.50%,0.15%,2012-05-29,神爱前,混合型-灵活,平安基金,6.58亿元（截止至：2021-09-30）
d004390,平安转型创新混合A,2021-11-24,3.8315,-1.38,2.04,12.31,16.49,78.92,99.31,228.26,373.55,79.12,317.15,10元,1.50%,0.15%,2017-04-14,神爱前,混合型-灵活,平安基金,1.25亿元（截止至：2021-09-30）
d004784,招商稳健优选股票,2021-11-24,3.7514,-0.85,2.00,8.46,11.94,58.21,99.11,234.38,434.01,72.12,275.14,10元,1.50%,0.15%,2017-09-20,陈西中,股票型,招商基金,3.49亿元（截止至：2021-09-30）
d001245,工银生态环境股票,2021-11-24,2.9730,-2.72,1.19,3.27,6.87,74.27,98.60,288.12,438.59,66.18,197.30,10元,1.50%,0.15%,2015-06-02,何肖颉,股票型,工银瑞信基金,46.38亿元（截止至：2021-09-30）
d400015,东方新能源汽车混合,2021-11-24,4.6818,-1.46,3.47,1.72,0.20,58.43,98.31,315.53,365.06,66.77,524.25,10元,1.50%,0.15%,2011-12-28,李瑞,混合型-偏股,东方基金,201.37亿元（截止至：2021-09-30）
d398021,中海能源策略混合,2021-11-24,1.7638,-3.41,-1.43,7.57,13.71,72.63,98.14,173.03,214.57,77.43,157.61,10元,1.50%,0.15%,2007-03-13,姚晨曦,混合型-偏股,中海基金,16.32亿元（截止至：2021-09-30）
