,Unnamed: 0,企业名称,所属行业,招聘岗位,工作地点,条件,企业信息,薪资,URL
0,0,BOSS直聘,人力资源服务,数据分析师,北京·朝阳区·太阳宫,10年以上硕士,人力资源服务已上市1000-9999人,10-11K,https://www.zhipin.com//job_detail/d197e212d9102e101nFz3N6_E1NQ.html
1,1,快手,社交网络,数据分析师,北京·海淀区·西二旗,5天/周6个月本科,社交网络已上市10000人以上,300-350元/天,https://www.zhipin.com//job_detail/b9b3cde5615884f91nBy2Nu9E1VS.html
2,2,边锋,游戏,数据分析,北京·海淀区·双榆树,在校/应届本科,游戏不需要融资1000-9999人,8-12K·14薪,https://www.zhipin.com//job_detail/3298798b141b5c891nx82964E1ZQ.html
3,3,途游游戏,游戏,数据分析,北京·朝阳区·立水桥,在校/应届硕士,游戏D轮及以上500-999人,10-15K·13薪,https://www.zhipin.com//job_detail/c14bec007289fe2c03B_0tq1FVI~.html
4,4,朝批商贸,批发/零售,数据分析,北京·朝阳区·南磨房,在校/应届本科,批发/零售不需要融资1000-9999人,5-6K,https://www.zhipin.com//job_detail/c663aef997c24c9a1nN53t-9F1RR.html
5,5,京东科技集团,互联网,数据分析,北京·大兴区·亦庄,4天/周6个月本科,互联网不需要融资1000-9999人,200-300元/天,https://www.zhipin.com//job_detail/9e1ac679b0445d3b1nd43dS9EVZS.html
6,6,法本,计算机软件,数据分析师,北京·东城区·朝阳门,1-3年大专,计算机软件已上市10000人以上,7-12K,https://www.zhipin.com//job_detail/d7117d106ddbefde1n1z2di_GFRS.html
7,7,易达未来,计算机软件,数据分析,北京·昌平区·西三旗,在校/应届本科,计算机软件未融资20-99人,10-15K,https://www.zhipin.com//job_detail/bb62122b05c71c291nd73d60ElZQ.html
8,8,全时天地在线,互联网,数据分析,北京,经验不限大专,互联网已上市1000-9999人,4-5K,https://www.zhipin.com//job_detail/5a0be5bde752c7f91nJ_2Ni8EFJR.html
9,9,美团,互联网,数据分析岗,北京·朝阳区·望京,4天/周3个月本科,互联网已上市10000人以上,150-200元/天,https://www.zhipin.com//job_detail/b6ca0d81c7465ef31nN-09y1GFpR.html
10,10,好未来,互联网,数据分析实习生,北京·昌平区·回龙观,4天/周6个月本科,互联网已上市10000人以上,100-200元/天,https://www.zhipin.com//job_detail/45ef374aed2bf83a1n142tq8GVtR.html
